parton,mae_mean_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,mae_std_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,mse_mean_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,mse_std_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,n_variables_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,n_folds_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,n_events_total_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,mae_mean_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,mae_std_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,mse_mean_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,mse_std_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,n_variables_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,n_folds_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,n_events_total_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,delta_mae_mean,delta_mse_mean
b1,7030.6231275535065,9929.902983503625,373722034.1533706,528519132.4819002,3,8,49962156,7120.493375097765,10057.149415105428,371836379.4159524,525858880.3400952,3,8,49962156,89.87024754425875,-1885654.7374182343
b2,5348.450803976302,7549.549372520422,189364741.55026355,267798191.52671507,3,8,49962156,5360.743453505826,7567.1081241413685,187421365.2727314,265048638.16118598,3,8,49962156,12.29264952952417,-1943376.2775321603
th,14738.881114505397,19905.00640211508,1277562359.370287,1802794664.9265223,3,8,49962156,13868.61568274702,18676.726458044126,1176170225.4674232,1659416934.802475,3,8,49962156,-870.2654317583765,-101392133.90286374
tl,12087.47002932606,16156.125622412232,772635667.9446079,1088692637.0861926,3,8,49962156,12427.297095641465,16637.460438940874,816899506.1705766,1151292446.9239788,3,8,49962156,339.8270663154053,44263838.22596872
ttbar,40403.67817014648,31517.7644356235,6239456639.645396,6193301189.062314,3,8,49962156,38507.05260413847,29834.048010581086,5866886183.544148,5790997828.772277,3,8,49962156,-1896.625566008006,-372570456.1012478
wh,11525.931306158336,14865.94474334121,814411411.8566179,1142494716.3971906,3,8,49962156,10915.066828297377,14012.152359648417,751642256.8787184,1053753692.874811,3,8,49962156,-610.8644778609596,-62769154.97789955
wl,7810.771844226485,9630.195639218477,289666066.991717,400415697.72431225,3,8,49962156,8381.072365660226,10436.832683004699,340027669.1592706,471645366.75909525,3,8,49962156,570.3005214337409,50361602.1675536
